Area,Price,Avg ratings
Raja Annamalai Puram,570.8333333333334,4.05
Raja Bazar,212.5,3.5
Rajajinagar,291.55263157894734,3.642105263157895
Rajamohallah,150.0,4.2
Rajarhat,300.0,3.8
Rajouri Garden,402.94117647058823,3.894117647058824
Rajouri Garden Extension,600.0,4.2
Ramanthapur,400.0,4.1
Ramdev Nagar,475.0,3.975
Ramesh Nagar,333.3333333333333,3.8499999999999996
Ramgopalpet,275.0,3.8666666666666667
Ramkote,200.0,4.1
Rammandir,400.0,2.9
Ramnas Pura,350.0,2.9
Rander,350.0,4.0
Range Hills,416.6666666666667,3.7000000000000006
Rani Bagh,300.0,4.2
Rani Gunj,200.0,4.2
Ranip,300.0,2.9
Rasta Peth,312.5,4.225
Raviwar Peth,500.0,4.15
Redhills,333.0,3.9
Residency Road,200.0,2.9
Richmond Town,300.0,3.6799999999999997
Rithala Rohini,300.0,4.3
Rohini,303.3852140077821,3.3817120622568093
Rohini - Sector 16,200.0,2.9
Rohini Sector 7,250.0,2.9
Royapettah,274.0,3.582857142857143
Royapuram,248.33333333333334,3.75
Rt Nagar,300.0,3.9
Ruby Area,264.0,3.452
Ruby Area  Kasba  East Kolkata Township,250.0,2.9
Ruby Park,300.0,2.9
Rustampura,200.0,3.4
Sadar Bazaar,250.0,4.3
Sadashiv Peth,331.57894736842104,3.642105263157895
Safal Square Vesu,200.0,2.9
Sagrampura,283.3333333333333,3.633333333333333
Sagrampuraathwa,300.0,2.9
Sai Nagar,200.0,4.4
Saidabad,250.0,3.6399999999999997
Saijpur Bogha,275.0,3.8499999999999996
Sainik Vihar,400.0,4.2
Sainik Vihar Pritampura,350.0,2.9
Saki Naka,469.811320754717,3.4867924528301883
Saki Naka   Andheri East,400.0,2.9
Saki Vihar Road,500.0,4.3
Sakivihar,300.0,4.2
Salabatpura,250.0,4.05
Saligramam,150.0,4.0
Salt Lake,355.1917808219178,3.3657534246575342
Salt Lake - Kolkata,300.0,3.1
Salt Lake Area,200.0,3.9
Salt Lake City,300.0,4.4
Saltlake Sector 1,300.0,4.3
Salunkhe Vihar,250.0,3.5999999999999996
Salunkhe Vihar Road,350.0,2.9
Sampangi Rama Nagar,710.0,3.4799999999999995
Sampangiram Nagar,200.0,4.35
Sangamvadi,525.0,3.7875
Sangvi,225.0,2.9
Sanitytestarea,281.25,2.9
Sanjay Nagar,175.0,3.55
Sanjay Nagar New Bel Road,75.0,2.9
Sanjeeva Reddy Nagar,250.0,4.033333333333333
Santacruz,236.0,4.18
Santacruz Bandra East,100.0,4.7
Santacruz East,354.53636363636366,3.765454545454545
Santacruz East Mumbai.,200.0,2.9
Santacruz West,310.0,4.3
Santhome,200.0,3.9
Santosh Nagar,291.6666666666667,4.066666666666666
Santoshnagar & Saidabad,229.21428571428572,3.2785714285714285
Santoshpur,487.5,3.1999999999999997
Sarat Bose Rd,600.0,4.3
Sarat Park,400.0,2.9
Sardar Colony,250.0,4.1
Sarkhej Road,500.0,2.9
Sarthana,223.1818181818182,2.9909090909090907
Sarvagnanagar,200.0,4.0
Sarvodaya Colony,300.0,3.8
Sastri Nager,500.0,3.9
Satara Road Bibvewadi,200.0,4.0
Satellite,321.42857142857144,3.6714285714285713
Sayedpura,300.0,4.066666666666666
Scruz Bandra East,421.6326530612245,3.1510204081632653
Sec-9 Rohini,200.0,2.9
Secot 24Rohini,300.0,3.7
Sector -15,500.0,2.9
Sector -6,300.0,2.9
Sector 1 Rohini,124.5,3.75
Sector 10 Rohini,700.0,3.733333333333333
Sector 11 Rohini,300.0,3.325
Sector 13 Rohini,200.0,4.0
Sector 14 Rohini,283.3333333333333,3.966666666666667
Sector 15 Rohini,275.0,3.95
